timestamp,target_x,target_z,actual_x,actual_z,joint1_angle,joint2_angle,joint3_angle,joint1_velocity,joint2_velocity,joint3_velocity,joint1_acceleration,joint2_acceleration,joint3_acceleration,joint1_torque,joint2_torque,joint3_torque,kp,kd,radius,center_x,center_z
1753346052.4285555,0.15,0.10000000000000002,0.14516780303407273,0.09021988022763755,1.1784158833759002,1.5786569654328575,0.8498585107344766,0.04793676378231232,-0.026504477823336897,-0.025265372169955516,0.0,0.0,0.0,-7.177816147981492,-0.9869979887076868,0.6187815248687439,0.1,0.4,0.1,0.25,0.1
1753346052.4371436,0.15000198183376795,0.10062957352702362,0.14517055151756544,0.0904223886440761,1.1764117595803116,1.5797015864392019,0.8509781796917427,-0.14696919929727914,0.07719466119135371,0.08146855487613039,0.0,0.0,0.0,-6.4378383922120745,-0.8742912527495598,0.5554452469135429,0.1,0.4,0.1,0.25,0.1
1753346052.4465406,0.15000792725651857,0.10125912209984567,0.1451745646683348,0.09101869476195176,1.1726442578323613,1.5816771250301447,0.8530397358090183,-0.20401303676121227,0.1072649876785719,0.11092713277993503,-1.3690520991343957,0.7216878356932366,0.7070058696913111,-5.677665050446229,-0.7636346859293393,0.4899029433412337,0.1,0.4,0.1,0.25,0.1
1753346052.4557009,0.15001783603259503,0.10188862076525386,0.14518140441970306,0.09169201035199115,1.1686165694158461,1.5838372831424472,0.8550750281386107,-0.2038111380810486,0.1103592278024495,0.10015199961207173,-2.4594482101179826,1.3732998672208883,1.0140073694156415,-5.476341853321239,-0.7395069583164166,0.4734456345965979,0.1,0.4,0.1,0.25,0.1
1753346052.5617223,0.1500317077692464,0.10251804457201388,0.14518956756144452,0.09234386909479225,1.1648634367478345,1.585671146554218,0.8573696664822024,-0.18573996391449238,0.08784808822543072,0.12057568366594312,-2.4400910297547305,1.1385134516878344,1.4279072979146759,-5.495686485550078,-0.7473544026419171,0.4762541175979624,0.1,0.4,0.1,0.25,0.1
1753346052.5711746,0.15004954191664313,0.10314736857185863,0.14520047895922847,0.09297752336522662,1.1612395810371479,1.587351955206742,0.859740041013855,-0.18271663568188765,0.08459896772267803,0.11937687677849995,-1.9086311574685153,0.4575365253312074,1.9437068377894118,-5.537877386697011,-0.7484273750953601,0.4806843583725068,0.1,0.4,0.1,0.25,0.1
1753346052.5801272,0.15007133776789894,0.10377656782047712,0.14521448529870018,0.09360805287549438,1.157810129029172,1.5886618533291494,0.8626101662319556,-0.17079933363989577,0.0610763235746149,0.1527540886460466,-0.6959188964339242,-0.8186190457495652,2.673728326383248,-5.5483565655474685,-0.7483314432226128,0.4834614525070722,0.1,0.4,0.1,0.25,0.1
1753346052.5887682,0.15009709445909875,0.10440561737850292,0.14523353433820813,0.09423913025960828,1.1542603769572775,1.590159731230353,0.8651596257800027,-0.18237767806091046,0.08063611079309418,0.12141452999523634,-0.11617854215859602,-1.3803880996767122,2.804725724066653,-5.552048731568234,-0.7431804798204003,0.48527182963182547,0.1,0.4,0.1,0.25,0.1
1753346052.5974898,0.15012681096933295,0.10503449231250289,0.1452591184769403,0.0948693967935964,1.1505745607556528,1.5918785824073167,0.8673376654426165,-0.18783655487035722,0.08931128371831895,0.10642230417113091,-0.3184810885110664,-0.7954868952572682,1.5424104502174236,-5.529123123377557,-0.7558512533071711,0.48618250705364296,0.1,0.4,0.1,0.25,0.1
1753346052.6970644,0.15016048612073787,0.10566316769596551,0.14528971262457516,0.09549899810252391,1.1467956750729793,1.5937413520930757,0.8692632582819817,-0.19231248010760804,0.09614308790455389,0.09431208790372017,-0.6935992832434066,0.027043173038660884,0.05194017487939995,-5.515413796112134,-0.7648151924407258,0.48676619624531425,0.1,0.4,0.1,0.25,0.1
1753346052.7062576,0.15019811857854248,0.10629161861028866,0.14532436775206686,0.09612784265014301,1.1430471176186054,1.5955292033530692,0.8712550810565631,-0.18894603145079078,0.08912088436579879,0.1023738627232089,-0.9051711438510391,0.5419682010324103,-0.9368211736437912,-5.50660252743508,-0.770751072049773,0.48756260663597484,0.1,0.4,0.1,0.25,0.1
1753346052.7150853,0.1502397068511212,0.10691982014576742,0.1453636772193369,0.09675641219736757,1.1393668797999184,1.597162826715599,0.8734234552731156,-0.18546598400227002,0.08109497166834961,0.11158216330036673,-0.6923523520782925,0.2562187042643005,-0.7087857318687735,-5.5076758693543475,-0.7695990951125238,0.4890753289616311,0.1,0.4,0.1,0.25,0.1
1753346052.7240522,0.15028524929005327,0.10754774740258158,0.1454062244290273,0.09738484853698678,1.1356963366679624,1.5987613982953701,0.8756132938697079,-0.18588441410064868,0.08119881216308238,0.11019754891898093,-0.41155883096037005,-0.16801695651844617,-0.22060050941179532,-5.506550039407482,-0.7692354124908561,0.4904444324056592,0.1,0.4,0.1,0.25,0.1
1753346052.732737,0.15033474409018774,0.10817537549178223,0.14545513419714523,0.0980115871384285,1.1317931752541914,1.6007522058275272,0.8771635026025455,-0.20112117508531435,0.10709248698912988,0.06837071948327239,-0.586074289295599,0.2138845412169212,-0.9124299200306775,-5.494514535906396,-0.777433233496541,0.4908426024727178,0.1,0.4,0.1,0.25,0.1
1753346052.829475,0.1503881892897153,0.10880267953627853,0.14550880366640687,0.09863807926858867,1.1279393205544235,1.6026256410087567,0.8788576506068688,-0.1932151967099662,0.09142799997511959,0.09061181698188013,-0.7959210988549269,0.6335134578791958,-1.624654593970829,-5.473592696462107,-0.7908719404723694,0.4911233138036914,0.1,0.4,0.1,0.25,0.1
