Time,Desired_X,Desired_Z,Actual_X,Actual_Z,Error_X,Error_Z,Angle_link_1_to_link_2,Angle_link_2_to_link_3,Angle_link_3_to_link_4,Torque_link_1_to_link_2,Torque_link_2_to_link_3,Torque_link_3_to_link_4
0.04888439178466797,0.3999449418224499,0.2966820783452429,0.37400802590323634,0.2936908557611126,0.025936915919213543,0.0029912225841303153,1.6938953029893649,0.052326576807951074,-0.9586017732920755,-9.379316004280275,-4.653756612407349,-1.788721639903709
0.1170511245727539,0.4,0.3,0.37440651910776246,0.29827353194965034,0.025593480892237563,0.00172646805034965,1.6827898082764308,0.05071507018250711,-0.9517382541232863,24.959768570604407,12.100185135261654,1.4190355047081213
0.13829731941223145,0.39987502603949665,0.30499791692706785,0.37463938272438563,0.3028864785234525,0.025235643315111023,0.002111438403615329,1.6720224726287982,0.04946261487764335,-0.9462380965704472,-4.036672797068898,-1.6654927604446004,-0.9278442549963007
0.15983033180236816,0.39950041652780255,0.3099833416646828,0.37469947371714196,0.30687821788975933,0.024800942810660587,0.003105123774923446,1.6605431420797996,0.048590046123531,-0.941632201590985,-22.351937563313115,-10.682342464946533,-2.662466453601075
0.18125200271606445,0.3988771077936042,0.3149438132473599,0.37464309225987913,0.3107692165890902,0.024234015533725062,0.004174596658269747,1.6482726270798203,0.04776665421507479,-0.9379047167535923,-26.891456082423048,-13.162055385068795,-3.277314790079802
0.24448442459106445,0.39800665778412414,0.3198669330795061,0.3744653648480373,0.3149104352700415,0.023541292936086866,0.004956497809464611,1.6356870183740857,0.0466627552898134,-0.9352684474163562,-21.567750958437635,-10.765557268652781,-2.933643664636726
0.26586389541625977,0.3968912421710645,0.3247403959254523,0.3741350616786318,0.3194031707394528,0.022756180492432665,0.005337225185999495,1.6233583650994103,0.045139100009432706,-0.9339550538048844,-12.683878345816565,-6.465470189388863,-2.131538249835111
0.28714418411254883,0.3955336489125606,0.3295520206661339,0.37362705813468355,0.3241565237398905,0.021906590777877044,0.005395496926243415,1.6116657081489703,0.04325469985875819,-0.9341090669406676,-5.319601387818133,-2.7720512504862143,-1.3668852722477696
0.30843329429626465,0.3939372712847379,0.3342897807455451,0.3729371190957892,0.3290008466594661,0.021000152188948684,0.005288934086079,1.6007211999534485,0.04116855439354067,-0.9357767315961226,-1.760921048138869,-0.8923752428148115,-0.9237819128405708
0.3296933174133301,0.3921060994002885,0.33894183423086505,0.37207806567240687,0.3337870971451674,0.020028033727881644,0.005154737085697636,1.5904452179006574,0.039028457513107684,-0.9389453704349299,-1.7455632735274023,-0.7784016328399267,-0.8390042480806248
0.39242982864379883,0.39004471023526766,0.343496553411123,0.3710671053555991,0.3384364505073279,0.01897760487966854,0.005060102903795105,1.580691543376102,0.03690592356659078,-0.9435895029900445,-3.651882374390779,-1.6720334928031866,-0.9855291277540655
0.41361021995544434,0.38775825618903725,0.3479425538604203,0.36991496765122844,0.34294008239288964,0.01784328853780881,0.005002471467530634,1.5713469514335634,0.03478936485215616,-0.9496978659518748,-5.743205360524482,-2.714558539768718,-1.1915679167970508
0.4348115921020508,0.38525245220595056,0.3522687228930659,0.36862217758988136,0.34732988993226405,0.016630274616069196,0.004938832960801831,1.5623739777205448,0.03261551061400922,-0.9572771649029905,-6.934230278484689,-3.343204362012959,-1.3304528375533762
0.45606279373168945,0.38253356149096784,0.35646424733950355,0.36718187246601924,0.35164435234742397,0.0153516890249486,0.004819894992079576,1.5538033614791966,0.030309830823319464,-0.9663423632464112,-6.967104919922304,-3.4008852522575843,-1.355397318377505
0.525062084197998,0.3796083798549056,0.36051864057360394,0.3655853968585795,0.3559057023829396,0.014022982996326094,0.0046129381906643285,1.5457010234024227,0.027814615889762567,-0.9769056011605428,-6.172767014991355,-3.033120617023015,-1.2867353018693897
0.5858616828918457,0.37648421872844884,0.3644217687237691,0.36382691402267286,0.36011322211565655,0.012657304705775974,0.004308546608112529,1.5381343383857737,0.025097547273214862,-0.9889705525382261,-5.088786710943518,-2.5025052415464684,-1.176101692513649
0.6071717739105225,0.3731688868873821,0.3681638760023334,0.3619051302439717,0.36424880746651206,0.011263756643410394,0.003915068535821353,1.531152059720186,0.02214510113914366,-1.0025326782175885,-4.150736565136799,-2.0312981275719557,-1.0719479140339716
0.6284136772155762,0.3696706709347165,0.3717356090899523,0.35982231438550444,0.36828741660553554,0.009848356549212067,0.0034481924844167455,1.5247803804298345,0.018949940630101525,-1.017582306902785,-3.554037639678235,-1.7257697257447595,-1.0004386111912984
0.6496162414550781,0.3659983145884982,0.37512804051402926,0.35758203046415155,0.3722060059904334,0.00841628412434664,0.002922034523595851,1.5190298453564581,0.015500212239596044,-1.0341071966567832,-3.272977548778045,-1.5801386227335161,-0.9635635814847414
0.6708011627197266,0.36216099682706643,0.37833269096274835,0.3551871167104725,0.3759878254168497,0.006973880116593945,0.0023448655458986334,1.513905598043305,0.01177444563691875,-1.0520927966914304,-3.1640844888023985,-1.525742679430861,-0.9482186658718343
0.7321324348449707,0.3581683089463883,0.38134155047893736,0.35263879487832683,0.3796221922149563,0.0055295140680614585,0.0017193582639810634,1.5094152946859674,0.00774168275171391,-1.0715202484704685,-3.075976422295438,-1.4862890850795873,-0.9378868350245521
0.7532594203948975,0.35403023058681393,0.38414709848078965,0.3499369636369472,0.3831017310571486,0.004093266949866725,0.0010453674236410304,1.505572436270587,0.0033642713951926254,-1.092363257257821,-2.917049109585443,-1.4134907927020122,-0.9208768656052323
