timestamp,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,link_1_to_link_2_torque,link_2_to_link_3_torque,link_3_to_link_4_torque,link_4_to_gripper_torque
0.0002181529998779297,0.0,0.0,0.68,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.012876033782958984,0.0,0.0,0.68,0.0,-0.0,0.0,-8.514574233271096,-8.437712284338385,-4.176923980756625,-0.06931350587528673
0.052378177642822266,0.001203351897917552,0.0,0.6799965968708984,-0.0,0.010121132838588447,-0.0,-4.184779202163947,-3.810973393046344,-1.5727553328256303,-0.024277339373494612
0.09524869918823242,0.0028296161574721665,0.0,0.6799827862275305,-0.0,0.022121260170942736,-0.0,-2.6972253827173667,-2.321986899472519,-0.9251895786467202,-0.014029540498036062
0.13660931587219238,0.004702708564256884,0.0,0.6799551263793902,-0.0,0.03496734134408516,-0.0,-2.1486263171793114,-1.7951613397781656,-0.7007675587811516,-0.010495597419610448
0.17916584014892578,0.006763252397937227,0.0,0.6799111318710567,-0.0,0.048356378307014294,-0.0,-1.857980742199869,-1.5300304663916622,-0.5908765605270215,-0.008774773957866664
0.21888136863708496,0.008983420463941957,0.0,0.679848548247245,-0.0,0.062177955743900684,-0.0,-1.6474178331141172,-1.343917702407462,-0.5150967815944547,-0.007590540099582638
0.26198768615722656,0.011344743265904785,0.0,0.6797652509248371,-0.0,0.0763746785431965,-0.0,-1.469543227485203,-1.1883897722632952,-0.4521599581084168,-0.006605757661900525
0.30314040184020996,0.013832241868784543,0.0,0.6796592580281793,-0.0,0.0909057101660154,-0.0,-1.310893524439771,-1.0498969649902012,-0.3961616231433969,-0.005727218047067997
0.3462953567504883,0.01643280170712587,0.0,0.6795287466114274,-0.0,0.10573704772543943,-0.0,-1.1669134181502256,-0.9240249924044229,-0.3452154474369382,-0.004925455928183035
0.3853874206542969,0.019134655806225496,0.0,0.6793720592923005,-0.0,0.12083875025555593,-0.0,-1.035461810605756,-0.8088156548761856,-0.29851092382188277,-0.004188030220797846
0.4283778667449951,0.021927165093732742,0.0,0.6791877037192317,-0.0,0.13618399298052122,-0.0,-0.9151189753108049,-0.7030279236769968,-0.2555479649160897,-0.0035073776953371927
0.4695887565612793,0.02480068437692614,0.0,0.6789743477268105,-0.0,0.15174861709838028,-0.0,-0.8047384399129145,-0.6056795680045863,-0.2159356261913662,-0.0028776241890891814
0.5123794078826904,0.027746458316718334,0.0,0.6787308119680505,-0.0,0.16751082826355698,-0.0,-0.7033222470820909,-0.5159212257401495,-0.17933720379398638,-0.0022937190531481387
0.5534703731536865,0.030756532167261805,0.0,0.6784560610986372,-0.0,0.18345095194067182,-0.0,-0.6099808493828562,-0.43299727506249963,-0.14545349286160444,-0.0017511745477876524
0.5957455635070801,0.03382367260981399,0.0,0.6781491941998208,-0.0,0.19955122003397352,-0.0,-0.5239157150613368,-0.35622982263716985,-0.11401616263496601,-0.0012459650533264218
0.6364040374755859,0.03694129682253197,0.0,0.6778094349053365,-0.0,0.21579558052493147,-0.0,-0.44440852707598194,-0.28500925616331513,-0.08478396733916882,-0.0007744706325010962
0.6790599822998047,0.04010340872641467,0.0,0.6774361215570306,-0.0,0.23216952649851944,-0.0,-0.3708127279845516,-0.2187870196765142,-0.0575398890133101,-0.00033343483210736003
0.719970703125,0.04330454161678203,0.0,0.6770286976157402,-0.0,0.24865994228813507,-0.0,-0.30254624460069834,-0.15706943662872752,-0.03208870178870239,8.007128882058287e-05
0.7621183395385742,0.046539706514751186,0.0,0.6765867024818535,-0.0,0.2652549649503826,-0.0,-0.0741642678287659,0.029131795100867157,0.03942580559205025,0.0011628257273441833
0.8030996322631836,0.049792186261238776,0.0,0.6761110166893155,-0.0,0.28193300614536965,-0.0,0.1264203895465243,0.2009238527063866,0.10757305435340177,0.0022108132388711866
0.845944881439209,0.05304596372957336,0.0,0.6756031719724689,-0.0,0.2986538798473451,-0.0,0.17750716805988215,0.2556981926617018,0.13215946768451609,0.002622862618312603
0.8869154453277588,0.056296217711766114,0.0,0.675063879552845,-0.0,0.31538915885356417,-0.0,0.2016877870881126,0.2828144453188108,0.1445973820411417,0.002842679096463362
0.9284939765930176,0.05954144345699071,0.0,0.6744933743288983,-0.0,0.33213144036354364,-0.0,0.21887953129832216,0.30273428084827225,0.1538626300314097,0.003011979756421256
0.9690208435058594,0.06278099671578072,0.0,0.6738917614211587,-0.0,0.3488787849093266,-0.0,0.23425718823321362,0.32077554096518607,0.16228698534737085,0.0031675413879521694
1.0123674869537354,0.06601445639887865,0.0,0.6732591130471872,-0.0,0.36563067033953306,-0.0,0.24916345386584549,0.3383179917794863,0.1704747699646739,0.0033188720663441963
1.053037405014038,0.06924145942554565,0.0,0.6725954954466958,-0.0,0.3823869410036159,-0.0,0.2639460809041154,0.3557184667061237,0.1785816726423869,0.0034684023644779285
1.0950517654418945,0.07246165802017773,0.0,0.6719009763262903,-0.0,0.3991475351727386,-0.0,0.27869481590685724,0.37306840273415875,0.18664700886083374,0.0036167282881163537
1.1366288661956787,0.07567470872084325,0.0,0.6711756269094602,-0.0,0.41591241443205035,-0.0,0.2934325852866845,0.3903904657912217,0.1946799469965381,0.003763971047913236
1.1782143115997314,0.07888026958953162,0.0,0.670419522499867,-0.0,0.43268154542481446,-0.0,0.30816503227497377,0.40768952352803345,0.20268185759823795,0.0039101292789972325
1.2197227478027344,0.08207799954076753,0.0,0.6696327426362992,-0.0,0.449454895149013,-0.0,0.32289333497235184,0.4249658422532957,0.21065209873540242,0.004055170161332929
