timestamp,target_x,target_z,actual_x,actual_z,joint1_angle,joint2_angle,joint3_angle,joint1_torque,joint2_torque,joint3_torque,kp,kd,radius,center_x,center_z
1752857528.6025383,0.35,0.3,0.35851247883866366,0.2938664114552342,0.8652733355286911,0.8261486807520028,0.3964633685472538,-9.683788535147388,-4.874592659564767,-1.0470068215516204,0.5,0.5,0.05,0.3,0.3
1752857528.6266575,0.3499960522101908,0.3006283019941676,0.3585271576455068,0.2945118828263125,0.8638448973512204,0.825646645074966,0.396354491483252,-9.655742339571198,-4.8594381856099105,-1.043955526407336,0.5,0.5,0.05,0.3,0.3
1752857528.6501384,0.349984209464165,0.30125650477216687,0.3585336204639319,0.29515645282659875,0.8623736886579365,0.8251911173519787,0.3962851650079183,-9.694530193415389,-4.893850459426827,-1.0540137182413754,0.5,0.5,0.05,0.3,0.3
1752857528.6737537,0.3499644736320294,0.30188450913349674,0.3585323066097726,0.2958012843867928,0.8608556106173181,0.824790663426046,0.39627092806250885,-9.651285857008203,-4.852944669173378,-1.037972987730797,0.5,0.5,0.05,0.3,0.3
1752857528.6972232,0.3499368478303009,0.30251221590898847,0.3585216687347062,0.2964442389451299,0.859297770797047,0.8244321538369388,0.3962973584258308,-9.672932926113377,-4.896427367311026,-1.0569278941604114,0.5,0.5,0.05,0.3,0.3
1752857528.719223,0.3499013364214136,0.30313952597646565,0.35850361741925807,0.2970873094626498,0.8576985981766769,0.8241203376047714,0.3963626756141934,-9.656693208567498,-4.886118176719912,-1.0543696368702846,0.5,0.5,0.05,0.3,0.3
1752857528.7411346,0.3498579450130307,0.30376634027639665,0.3584778795459527,0.2977300411823619,0.856056224896742,0.823858761546721,0.3964689311027137,-9.647480094089174,-4.878943085893165,-1.0517238033408618,0.5,0.5,0.05,0.3,0.3
1752857528.7630246,0.3498066804571586,0.30439255982753716,0.35844404928163087,0.29837200151482224,0.8543606078039342,0.8236688267834349,0.39659639988001416,-9.663742404462715,-4.8726143438120015,-1.050960574672342,0.5,0.5,0.05,0.3,0.3
1752857528.7849061,0.349747550849065,0.30501808574256073,0.358401408895192,0.2990133998612271,0.8526221894745555,0.8235333480350416,0.39675952206709814,-9.604219024645904,-4.861778265570256,-1.04926085978587,0.5,0.5,0.05,0.3,0.3
1752857528.8071291,0.3496805655260004,0.3056428192436741,0.3583506901872471,0.29965328002058134,0.8509681843953322,0.8230201012432077,0.39763891227367704,-9.822760505512932,-5.190193872729669,-1.042057999663027,0.5,0.5,0.05,0.3,0.3
1752857528.8291292,0.3496057350657239,0.3062666616782152,0.35828921366409605,0.30028653721429566,0.8492814848215396,0.8225136779677708,0.39862792111534373,-9.68685570417556,-4.936583677491671,-1.0587312820362011,0.5,0.5,0.05,0.3,0.3
1752857528.851049,0.34952307128483256,0.3068895145342319,0.3582193043693874,0.30091919581593934,0.8475042677476475,0.8222173704618929,0.3994126128199799,-9.529181788423967,-4.755769938635687,-1.0544851450565589,0.5,0.5,0.05,0.3,0.3
1752857528.8730788,0.3494325872368957,0.30751127945603784,0.3581419613205057,0.30155224439463146,0.8456322011593351,0.822160211070143,0.39992243167891295,-9.488633417187813,-4.740528301507761,-1.064504314321852,0.5,0.5,0.05,0.3,0.3
1752857528.895317,0.3493342972103934,0.30813185825974415,0.35805882513328086,0.3021868372073183,0.8436876356461188,0.8222698161714246,0.4002820493369567,-9.479017059047933,-4.768613993823573,-1.0540613363073692,0.5,0.5,0.05,0.3,0.3
1752857528.9168735,0.34922821672646026,0.30875115294876376,0.35796891741727754,0.3028206870739162,0.841695497295757,0.8224401682933711,0.4006831104262943,-9.579079050916064,-4.861721539195261,-1.0482914124826586,0.5,0.5,0.05,0.3,0.3
1752857528.9389977,0.3491143625364344,0.30936906572928624,0.3578700615024546,0.30345238246511297,0.8396774206220123,0.8226256208523539,0.40116976246547453,-9.51782740716268,-4.873475308759973,-1.0506824522998124,0.5,0.5,0.05,0.3,0.3
1752857528.960763,0.34899275261921237,0.30998549902572037,0.3577637075787472,0.30408111439781355,0.8376329117746125,0.8228158970090405,0.401757430263748,-9.575722431668298,-4.913997072508652,-1.058984777246332,0.5,0.5,0.05,0.3,0.3
1752857528.9822187,0.34886340617840966,0.3106003554961027,0.35764970894826054,0.304708060728404,0.835539070351383,0.8230569668921472,0.4024185629553854,-9.60577819790052,-4.884465396395062,-1.0480813054169373,0.5,0.5,0.05,0.3,0.3
1752857529.0036001,0.34872634363932886,0.31121353804746904,0.35752569204481616,0.305332735014226,0.8333964644576431,0.8233658146156393,0.40311001802385915,-9.530905273189468,-4.851887905832843,-1.0488949712705995,0.5,0.5,0.05,0.3,0.3
1752857529.0254261,0.3485815866457337,0.31182494985118625,0.3573928120500275,0.3059548828687883,0.8312092789951103,0.8237494019656094,0.40378925893253986,-9.481485556347197,-4.8470851547631275,-1.0589100391016888,0.5,0.5,0.05,0.3,0.3
1752857529.047893,0.34842915805643154,0.3124344943582427,0.35725297650019927,0.30657537029711446,0.8289783957135399,0.8242144312886329,0.4044478718519634,-9.417769803448712,-4.81412354449274,-1.052042004849689,0.5,0.5,0.05,0.3,0.3
1752857529.0701473,0.34826908194166367,0.31304207531449485,0.35710622550920956,0.3071930142945738,0.8266900379713978,0.8247784056191401,0.40506726208278476,-9.523314399554843,-4.860559824657308,-1.0643363494237577,0.5,0.5,0.05,0.3,0.3
